-0.71 -0.26 -1.13 -1.24 -0.2 1.13 1.7 2.17
0.11 0.03 0.94 2.26 2.8 3.78 3.47 3.13
1.41 0.83 1.35 0.05 0.19 -0.47 -0.16 0.4
0.41 -0.44 0.86 0.08 0.18 -0.43 -0.27 0.07
-0.9 -0.43 0.39 0.81 0.53 2.1 2.09 2.24
-0.18 -0.65 0.03 -0.68 -0.12 -0.6 -0.01 0.13
-0.41 1.07 1.61 0.99 2.03 2.26 2.64 2.13
0.33 -1.05 -0.31 -0.65 -1.03 -0.29 -0.76 -0.74
0.28 0.42 0.47 -0.63 -0.51 -0.47 -0.73 0.22
-1.57 -1.53 -1.67 -1.45 -2.12 -1.13 -0.4 0.9
0.64 -0.01 0.89 0.11 -0.47 1.21 1.74 2.11
0.87 -0.44 -0.05 -0.55 0.14 0.43 0.39 0.92
1.37 1.08 1.02 0.52 0.79 -0.29 0.74 1.28
0.58 0.18 -0.62 0.45 0.88 0.55 1.5 2.13
-0.56 -0.14 -0.48 -2.39 -1.73 -2.42 -1.64 -1.04
-0.96 -1.45 -1.9 -1.96 -0.75 0.3 0.46 2.31
-1 -0.38 -0.13 -0.52 0.03 0.33 1.4 1.62
-0.28 -0.97 -1.23 -1.41 -1.09 -1.13 -1.23 -0.97
0.25 -0.43 -1.01 0.04 0.05 0.79 1.14 2.23
0.08 -0.57 -1.26 -0.89 -0.35 -0.51 -0.32 -0.6
-2.51 -3.2 -3.01 -2.47 -2.08 -2.21 -1.55 -0.73
-0.32 -1.89 -1.76 -1.14 -0.92 -1.24 -0.96 -0.36
1.12 0.39 1.22 -0.11 0.51 1.79 1.99 2.02
-0.38 -0.99 0.33 0.54 0.4 0.94 1.24 0.99
1.32 1.03 0.16 0.13 0.5 0.46 0.48 0.44
1.17 -0.4 -0.73 -0.72 -0.43 -0.34 0.5 2.16
0.64 0.37 1.04 -1.04 -0.6 -0.06 0.05 0.83
0.72 0.1 0.69 0.34 1.49 2.55 2.75 2.5
-0.62 -0.59 0.12 0.02 0.08 0.29 0.15 1.52
0.98 0.73 0.47 0.56 0.75 0.43 0.75 0.65
-0.53 -0.37 -0.57 -1.15 0.18 1.25 2.24 2.42
3.08 2.07 0.48 1.09 0.75 1.48 1.52 2.23
1.22 0.06 -0.67 -1.07 -0.32 0.11 0.68 1.7
0.14 -0.43 0.33 -0.84 0.43 0.91 0.83 1.49
-0.05 1.37 0.98 0.25 0.71 1.2 2.06 1.9
1.79 2.16 2.41 0.9 1.17 0.94 1.11 1.72
0.7 0.65 -0.88 -0.22 0.48 0.55 0.89 1.24
-0.85 0.14 -0.33 -0.89 -0.57 -0.35 -0.07 0.17
-1.3 -1.63 -0.95 -1.7 -1.12 -1.54 -1.31 -1.6
